Section,Control Area,Question (Describe HOW control is implemented),Detailed Response,Risk Rating (Low/Medium/High/Critical),Evidence / Artifacts Link
Application Overview,Business Context,"Describe the application purpose, supported business processes, users, and business criticality drivers.","The provided documentation describes a 'sample three-tier application architecture' and a 'sample reference design' rather than a specific production application with a defined business purpose. Therefore, the application's specific business purpose, supported business processes, and specific user types (beyond 'Client / upstream app' or 'Admin workstation') are not detailed.

However, the documentation explicitly defines the business criticality drivers through its CIA rating:
*   **Confidentiality (C2):** Indicates the application handles 'moderate confidentiality; business data is sensitive but not at the highest restricted tier.'
*   **Integrity (I3):** Signifies a 'high integrity requirement; unauthorized or accidental change could materially affect business operations.'
*   **Availability (A4):** States a 'very high availability expectation; prolonged outage has significant business impact.'

Additionally, the 'AKS Application Support Pack' reinforces the availability criticality with a 'Target Availability: 99.9% monthly uptime' and 'Maximum Allowed Downtime per Month: ~43 minutes,' covering application services, ingress, and database connectivity. The application is noted to integrate with 'upstream applications' (e.g., ERP, CRM) and 'downstream applications' (e.g., BI/reporting), implying its role within a broader enterprise ecosystem, but its specific function within these integrations is not elaborated.",High,"http://localhost:3000/en/azure-aks-3tier-architecture-documentation,http://localhost:3000/en/azure-aks-support-pack"
Application Overview,Business Impact,"Describe financial, operational, customer, and regulatory impact of an outage including estimated impact per hour/day.","The provided documentation acknowledges the importance of availability and the potential for significant business impact from prolonged outages. The 'Azure AKS 3-tier Architecture Documentation' assigns an Availability A4 rating, indicating a 'Very high availability expectation; prolonged outage has significant business impact.' However, it explicitly lists 'Operational SLOs' as an 'Architecture Debt,' stating that 'Availability target implied but SLO/SLI/error budgets not defined. Weak service reliability governance.' It recommends to 'Define monitoring thresholds, SLOs, runbooks and ownership model.' While the 'AKS Application Support Pack' defines a 'Target Availability: 99.9% monthly uptime' with a 'Maximum Allowed Downtime per Month: ~43 minutes,' it does not provide any specific quantification of financial, operational, customer, or regulatory impact per hour or day of an outage. The documentation identifies the *need* for such definitions but does not provide them.",High,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Application Overview,RTO/RPO,"Describe defined RTO/RPO targets, approval authority, and how targets were determined.","The provided documentation does not explicitly define RTO (Recovery Time Objective) or RPO (Recovery Point Objective) targets for the application. While the 'Azure AKS 3tier Architecture Documentation' defines an Availability A4 rating, indicating a 'Very high availability expectation' and notes that 'prolonged outage has significant business impact,' it also lists 'Disaster recovery' as an 'Architecture Debt.' It states, 'No active geo-redundant application topology shown in baseline. A4 availability target may not be fully met for regional outage scenarios. Add secondary-region deployment pattern, database failover group, and tested runbooks.' This indicates that a comprehensive disaster recovery strategy, which would typically include RTO/RPO targets, is not fully implemented or documented in this baseline. The 'AKS Application Support Pack' mentions a 'Target Availability: 99.9% monthly uptime' as an SLA, but this refers to operational uptime rather than recovery objectives in a disaster scenario. There is no information regarding the approval authority for such targets or how they were determined.",High,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Security,Authentication,"Describe authentication mechanisms (IdP, MFA, SSO, service identities) and configuration details.","The architecture leverages Microsoft Entra (formerly Azure AD) as the central Identity Provider (IdP) for both human administrators and service identities. For human administrator access, the design mandates the use of Microsoft Entra groups, Multi-Factor Authentication (MFA), and role-based assignment, explicitly stating that no shared administrator accounts should be used. While Single Sign-On (SSO) is not explicitly detailed for end-users of the application, its use for administrators via Microsoft Entra implies SSO capabilities within the broader Entra ecosystem.

For service identities, the architecture employs Microsoft Entra Workload Identity. This mechanism allows AKS pods to authenticate to Azure SQL Database without storing database passwords. The configuration involves a Kubernetes service account in the application namespace being annotated for workload identity, which is then federated to a user-assigned managed identity. AKS issues a projected service account token, and Microsoft Entra exchanges this token for an access token associated with the managed identity. The application uses Azure Identity libraries (e.g., DefaultAzureCredential / WorkloadIdentityCredential) to request a token for Azure SQL. Azure SQL then validates the Entra token and authorizes the database user mapped to that identity, ensuring least privilege. This approach eliminates the need to store SQL usernames/passwords in code, configuration, or Kubernetes secrets.",Low,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Security,Authorization Model,"Describe RBAC/ABAC model, role definitions, permission scoping, and mapping to business functions.","The architecture explicitly defines an RBAC model for both human administrators and application identities. For human administrators, it mandates the use of Microsoft Entra groups, MFA, and role-based assignment, with a clear separation of duties for 'platform admin, app operator, and data admin'. Permissions are scoped using Azure RBAC for platform administrators at the subscription/resource group level, and Kubernetes RBAC for developers/operators at the namespace level, with a recommendation to avoid cluster-admin for routine operations. For application identities, AKS workloads use Microsoft Entra Workload Identity, where a Kubernetes service account is federated to a user-assigned managed identity. This managed identity is granted 'only the required database permissions' on Azure SQL Database, adhering to the principle of least privilege. The document provides a detailed table outlining identity types, their scope (e.g., cluster infrastructure resources, container registry, Azure SQL Database, Azure subscription/resource group, AKS namespaces), and typical permissions (e.g., Contributor on node resource group, AcrPull, contained DB user with execute/read/write, least-privilege Azure RBAC roles, namespace-scoped Kubernetes RBAC). This structure effectively maps roles and their permissions to specific operational and business functions.",Low,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Security,Least Privilege,"Describe how least privilege is enforced for users, admins, and services.","The architecture explicitly enforces the principle of least privilege for users, administrators, and services. 

For **services**, specifically AKS workloads, Microsoft Entra Workload Identity is used. A Kubernetes service account is federated to a user-assigned managed identity, which is then granted only the *required database permissions* (e.g., execute/read/write as needed) on Azure SQL Database. This eliminates the need to store database passwords and ensures the application tier has minimal necessary access. The architecture decision states that 'Managed identity via Microsoft Entra Workload Identity Eliminates embedded SQL usernames/passwords and aligns with least privilege.'

For **administrators**, human access is managed through Microsoft Entra groups, Multi-Factor Authentication (MFA), and role-based assignment, with a strict policy against shared administrator accounts. Platform administrators are assigned 'Least-privilege Azure RBAC roles,' with the recommendation to use Privileged Identity Management (PIM) or Just-In-Time (JIT) access where available. Developers and operators are granted 'Namespace-scoped Kubernetes RBAC and CI/CD permissions,' with a clear instruction to 'Avoid cluster-admin for routine operations.'

For **users** (implicitly, those interacting with the application or requiring specific access), the system relies on Microsoft Entra-based authentication and authorization, ensuring that access is granted based on defined roles and permissions.",Low,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Security,Access Provisioning,Describe onboarding/offboarding lifecycle including approvals and automation.,"The provided documentation describes the identity and access management mechanisms, such as Microsoft Entra Workload Identity for AKS workloads, Azure RBAC, Kubernetes RBAC, and SQL roles for human administrators and application identities. It specifies that human administrator access should use Entra groups, MFA, and role-based assignment, with PIM/JIT recommended for platform administrators. It also outlines the identity flow for applications connecting to Azure SQL. However, the documentation does not describe a formal 'onboarding/offboarding lifecycle' for applications, users, or identities, nor does it detail specific approval processes or automation steps associated with these lifecycle events. While it covers 'how' access is managed, it lacks information on the 'when' and 'how' identities and their access are provisioned or deprovisioned throughout their lifecycle, including the associated approval workflows and automation.",High,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Security,Access Reviews,"Describe periodic access review process, frequency, and evidence generated.","The provided documentation does not contain any information regarding a periodic access review process, its frequency, or the type of evidence generated. While the 'Identity and Access Management (IAM)' section (8.3) and 'Access Controls and Permissions' section (8.4) in the 'Azure AKS 3tier Architecture Documentation' discuss initial access control setup, authentication, authorization, and the principle of least privilege, there is no mention of a recurring review mechanism for these access rights. The 'Solution Risks' section (5) mentions 'least privilege review' as a mitigation for 'Identity misconfiguration', but this refers to pre-production validation and initial setup, not ongoing periodic reviews.",High,N/A
Security,Service Accounts,"Describe creation, rotation, monitoring, and decommissioning of service identities.","The documentation provides details on the creation and monitoring of service identities, but is less explicit on their rotation and decommissioning.

**Creation:** Service identities are created using Microsoft Entra Workload Identity. A Kubernetes service account within the application namespace is federated to a user-assigned managed identity. This managed identity is then granted only the required database permissions, aligning with the principle of least privilege.

**Rotation:** The architecture explicitly states that it 'Eliminates embedded SQL usernames/passwords' and 'No SQL username/password is stored in the container image, configuration file, or Kubernetes secret' by using managed identity via Microsoft Entra Workload Identity. This token-based authentication inherently reduces the need for traditional password rotation for database access. For other non-database secrets and certificates, Azure Key Vault is used, which centralizes their lifecycle management, implying rotation capabilities, though specific rotation policies are not detailed for the managed identity itself.

**Monitoring:** The 'Monitoring and audit' section under 'Security Aspects' indicates that 'Azure Monitor, Defender for Cloud, SQL auditing' are used to 'Log access, changes, anomalous behavior and admin operations.' This covers the monitoring of identity-related activities and access.

**Decommissioning:** The provided documentation does not explicitly detail a process or policy for the decommissioning of service identities.",Medium,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Security,Segregation of Duties,"Describe SoD enforcement for critical actions (deployments, approvals, data access).","The architecture explicitly addresses Segregation of Duties (SoD) for critical actions. The documentation states that 'Authorization Azure RBAC + Kubernetes RBAC + SQL roles Separate platform admin, app operator, and data admin duties.' This clearly defines distinct responsibilities for different administrative functions. For human administrators, Microsoft Entra-based authentication with role-based assignment and MFA is mandated, with a strict policy against shared administrator accounts. Developers and operators are granted namespace-scoped Kubernetes RBAC and CI/CD permissions, specifically avoiding cluster-admin privileges for routine operations, thereby enforcing SoD for deployments. Data access is controlled by assigning least-privilege roles to the application's managed identity for Azure SQL Database, and data administration duties are separated. The document also lists 'separation of duties' as a design consequence for achieving the high integrity (I3) requirement of the application.",Low,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
